中药材	中药材
分布	北京
分布	天津
分布	上海
分布	重庆
分布	河北
分布	山西
分布	辽宁
分布	吉林
分布	黑龙江
分布	江苏
分布	浙江
分布	安徽
分布	福建
分布	江西
分布	山东
分布	河南
分布	湖北
分布	湖南
分布	广东
分布	海南
分布	四川
分布	贵州
分布	云南
分布	陕西
分布	甘肃
分布	青海
分布	台湾
分布	内蒙古
分布	广西
分布	西藏
分布	宁夏
分布	新疆
分布	香港
分布	澳门
采收季节	春
采收季节	夏
采收季节	秋
采收季节	冬
四性	寒
四性	凉
四性	温
四性	热
五味	辛
五味	甘
五味	酸
五味	苦
五味	咸
归经	胃经
归经	脾经
归经	大肠经
归经	肾经
归经	肺经
归经	心经
归经	肝经
归经	膀胱经
归经	胆经
归经	三焦经
归经	小肠经
归经	心包经
中药名	半夏
别名	三叶半夏
别名	三步跳
别名	麻芋子
别名	水芋
别名	地巴豆
中药名	鱼胆草
别名	金盆
别名	青鱼胆草
别名	水灵芝
别名	水黄连
中药名	路路通
别名	枫实
别名	枫木上球
别名	枫香果
别名	枫果
别名	枫树球
别名	狼眼
别名	九空子
别名	狼目
别名	聂子
中药名	党参
别名	条党
别名	单枝党
别名	板桥党
别名	防党参
别名	上党参
别名	狮头参
别名	中灵草
别名	黄参
中药名	胆木
别名	山熊胆
别名	熊胆树
别名	细叶黄棵木
别名	黄羊木
别名	药乌檀
别名	黄胆木
别名	黄心木
别名	树黄柏
中药名	山姜
别名	和山姜
别名	九姜连
别名	姜叶淫羊藿
别名	九龙盘
别名	姜七
别名	高良姜
别名	鸡爪莲
中药名	藤黄
别名	玉黄
别名	月黄
中药名	肉豆蔻
别名	肉豆叩
别名	肉果
别名	玉果
别名	顶头肉
别名	迦拘勒
中药名	山萸肉
别名	山茱萸
别名	萸肉
别名	药枣
中药名	萝藦
别名	芄兰
别名	羊角菜
别名	婆婆针线包
别名	奶桨藤
别名	野隔山消
中药名	乌桕子
别名	乌桕种子
别名	乌茶子
别名	桕子
别名	琼子
中药名	一点红
别名	红背叶
别名	叶下红
别名	羊蹄草
别名	红背中
别名	土公英
中药名	醉鱼草
别名	鱼尾草
别名	醉鱼儿草
别名	樚木
别名	闹鱼花
别名	痒见消
别名	四方麻
别名	阳包树
别名	鱼鳞子
别名	药杆子
别名	驴尾草
别名	羊尾巴
别名	防痛树
别名	鸡公尾
别名	毒鱼藤
别名	鲤鱼花草
别名	药鳗老醋
别名	野巴豆
别名	老阳花
别名	萝卜树子
别名	药鱼子
别名	土蒙花
别名	花玉成
别名	四棱麻
别名	羊饱药
别名	羊白婆
别名	金鸡尾
别名	洞庭草
别名	白皮消
别名	铁帚尾
别名	红鱼波
别名	红鱼皂
别名	铁线尾
别名	四季青
别名	白袍花
别名	糖茶
别名	水泡木
别名	雉尾花
别名	楼梅草
别名	鱼泡草
别名	鱼藤草
别名	洋波
别名	鱼背子花
别名	一串花
别名	狗头鹰
别名	红鱼鲄
别名	鱼白子花
别名	野刚子
别名	鱼尾子
别名	鱼花草
别名	毒鱼草
中药名	铁苋
别名	铁苋菜
别名	六合草
别名	血见愁
别名	喷水草
别名	人苋
别名	海蚌含珠
别名	撮斗撮金珠
别名	半边珠
别名	野黄麻
别名	小耳朵草
别名	痢疾草
别名	猫眼草
别名	茶丝黄
别名	沙罐草
别名	灯盏窝
别名	田螺草
别名	血布袋
别名	七盏灯
中药名	八角莲
别名	八角连
别名	金魁莲
